die Gegenwart;present
hauptsächlich;main
der Mittelpunkt;centre
im Mittelpunkt stehen;take centre stage
vermitteln;connect
erreichen;acheive
die Ausstellung;exhibition
andernorts;elsewhere
leihen;to loan
die Leihgabe;the loan
das Programm;program
der Vortrag;lecture
das Seminar;seminar
die Publikation;publication
zahlreich;numerous
der Menschheit;humanity
ausstellen;exhibit
lagern;store
konservieren;conserve
das Zeitalter;age
der Aufklärung;The Enlightenment
die Neuiger;curiosity
herrschen;rule
nahezu;nearly
der Weltkrieg;world war
weltweit;worldwide
beitragen;contribute
der Jahrestag;anniversary
die Verwahrung;keeping
das Altertum;antiquity
verfügen über;have at one's disposal
